film,Oscar_Winner,num_nominations,Title,IMDb Rating,Runtime (mins),Year,Num Votes,IMDb Popularity,Num Directors,Comedy,Romance,Drama,War,Adventure,award_Acting,award_Animation,award_Cinematography,award_Costume Design,award_Directing,award_Documentary,award_Editing,award_International Feature,award_Makeup and Hairstyling,award_Music,award_Other,award_Picture,award_Production Design,award_Short Film,award_Sound,award_Visual Effects,award_Writing
The Yanks Are Coming,0,1,The Yanks Are Coming,5.7,45.0,1963,18,102.60000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Year of Living Dangerously,1,1,The Year of Living Dangerously,7.1,115.0,1982,23821,169129.1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Yearling,1,7,The Yearling,7.2,128.0,1946,6716,48355.200000000004,1,0,0,1,0,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
The Young Girls of Rochefort,0,1,The Young Girls of Rochefort,7.7,125.0,1967,12870,99099.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Young Land,0,1,The Young Land,5.4,89.0,1959,386,2084.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Young Lions,0,3,The Young Lions,7.1,167.0,1958,9176,65149.6,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Young Philadelphians,0,3,The Young Philadelphians,7.4,136.0,1959,4411,32641.4,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Young Victoria,1,3,The Young Victoria,7.2,105.0,2009,68055,489996.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
The Young in Heart,0,3,The Young in Heart,7.3,90.0,1938,1738,12687.4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Theeb,0,1,Theeb,7.2,100.0,2014,11742,84542.40000000001,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Their Own Desire,0,1,Their Own Desire,5.8,65.0,1929,820,4756.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelma & Louise,1,6,Thelma & Louise,7.6,130.0,1991,182753,1388922.8,1,0,0,1,0,1,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Them!,0,1,Them!,7.2,94.0,1954,25498,183585.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Theodora Goes Wild,0,2,Theodora Goes Wild,7.1,94.0,1936,3105,22045.5,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
There Goes My Heart,0,1,There Goes My Heart,6.5,83.0,1938,700,4550.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
There Will Be Blood,1,8,There Will Be Blood,8.2,158.0,2007,668023,5477788.6,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1
There's No Business Like Show Business,0,3,There's No Business Like Show Business,6.4,117.0,1954,6981,44678.4,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
These Three,0,1,These Three,7.4,93.0,1936,3231,23909.4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
They Knew What They Wanted,0,1,They Knew What They Wanted,6.0,96.0,1940,510,3060.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
They Planted a Stone,0,1,They Planted a Stone,5.9,26.0,1953,36,212.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
They Shall Have Music,0,1,They Shall Have Music,7.0,102.0,1939,525,3675.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"They Shoot Horses, Don't They?",1,9,"They Shoot Horses, Don't They?",7.8,129.0,1969,21928,171038.4,1,0,0,1,0,0,3,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0
They Were Expendable,0,2,They Were Expendable,7.2,135.0,1945,9690,69768.0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
They're Always Caught,0,1,They're Always Caught,6.5,22.0,1938,251,1631.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thin Ice,0,1,Thin Ice,6.3,79.0,1937,475,2992.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thirteen,0,1,Thirteen,6.8,100.0,2003,102965,700162.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thirty Million Letters,0,1,Thirty Million Letters,6.9,30.0,1963,38,262.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thirty Seconds over Tokyo,1,2,Thirty Seconds Over Tokyo,7.2,138.0,1944,6750,48600.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
This Is Cinerama,0,1,This Is Cinerama,6.9,115.0,1952,575,3967.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
This Is the Army,1,3,This Is the Army,5.8,121.0,1943,1397,8102.599999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
This Land Is Mine,1,1,This Land Is Mine,7.5,103.0,1943,3979,29842.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
This Love of Ours,0,1,This Love of Ours,5.7,90.0,1945,167,951.9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
This Mechanical Age,1,1,This Mechanical Age,6.5,10.0,1954,72,468.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
This Sporting Life,0,2,This Sporting Life,7.5,134.0,1963,7387,55402.5,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Way Up,0,1,This Way Up,6.9,9.0,2008,1692,11674.800000000001,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Woman Is Mine,0,1,This Woman Is Mine,5.5,92.0,1941,153,841.5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
This above All,1,4,This Above All,6.6,110.0,1942,1490,9834.0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Thoroughly Modern Millie,1,7,Thoroughly Modern Millie,6.9,138.0,1967,7343,50666.700000000004,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0
Thoth,1,1,Thoth,6.8,40.0,2002,251,1706.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thousands Cheer,0,3,Thousands Cheer,6.2,125.0,1943,1246,7725.2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Three,0,1,Three,7.7,80.0,1965,1065,8200.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Three Billboards outside Ebbing, Missouri",1,7,"Three Billboards Outside Ebbing, Missouri",8.1,115.0,2017,580581,4702706.1,1,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Three Brothers,0,1,Three Brothers,7.0,113.0,1981,1857,12999.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Three Coins in the Fountain,1,3,Three Coins in the Fountain,6.2,102.0,1954,3910,24242.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Three Comrades,0,1,Three Comrades,7.1,98.0,1938,2178,15463.8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Days of the Condor,0,1,Three Days of the Condor,7.4,117.0,1975,65622,485602.80000000005,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Three Is a Family,0,1,Three Is a Family,5.1,81.0,1944,59,300.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Three Kisses,0,1,Three Kisses,5.4,10.0,1955,26,140.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Three Little Words,0,1,Three Little Words,6.9,102.0,1950,2147,14814.300000000001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Three Men and a Cradle,0,1,Three Men and a Cradle,6.6,106.0,1985,4086,26967.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Three Orphan Kittens,1,1,Three Orphan Kittens,6.8,9.0,1935,1368,9302.4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Russian Girls,0,1,Three Russian Girls,6.6,81.0,1943,48,316.79999999999995,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Three Smart Girls,0,3,Three Smart Girls,6.6,84.0,1936,1587,10474.199999999999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Three Songs for Benazir,0,1,Three Songs for Benazir,6.2,22.0,2021,3016,18699.2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Through a Glass Darkly,1,2,Through a Glass Darkly,7.9,90.0,1961,28319,223720.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Throw Momma from the Train,0,1,Throw Momma from the Train,6.3,88.0,1987,42551,268071.3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderball,1,1,Thunderball,6.9,130.0,1965,131255,905659.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thunderbolt,0,1,Thunderbolt,6.5,85.0,1929,966,6279.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderbolt and Lightfoot,0,1,Thunderbolt and Lightfoot,7.0,115.0,1974,30431,213017.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday's Children,1,1,Thursday's Children,7.3,21.0,1954,413,3014.9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timber Toppers,0,1,Timber Toppers,6.3,10.0,1938,19,119.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Timbuktu,0,1,Timbuktu,7.1,96.0,2014,18658,132471.8,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Time,0,1,Time,6.8,81.0,2020,6435,43758.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Time Freak,0,1,Time Freak,7.2,10.0,2011,430,3096.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Time Is Running Out,0,1,Time Is Running Out,,33.0,1970,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Time Piece,0,1,Time Piece,7.6,9.0,1965,1015,7714.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Time Stood Still,0,1,Time Stood Still,,9.0,1956,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Timecode,0,1,Timecode,7.1,15.0,2016,1884,13376.4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tin Pan Alley,1,1,Tin Pan Alley,6.4,94.0,1940,582,3724.8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tin Toy,1,1,Tin Toy,6.5,5.0,1988,12052,78338.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinker Tailor Soldier Spy,0,3,Tinker Tailor Soldier Spy,7.0,127.0,2011,219306,1535142.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tit for Tat,0,1,Tit for Tat,7.5,19.0,1935,2549,19117.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Titanic,1,32,Titanic,7.0,98.0,1953,7926,55482.0,1,0,1,1,0,0,4,0,2,2,2,0,2,0,2,2,6,2,4,0,2,2,0
Titus,0,1,Titus,7.1,162.0,1999,21843,155085.3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlayucan,0,1,Tlayucan,7.3,105.0,1962,242,1766.6,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
To Be Alive!,1,1,To Be Alive!,6.6,18.0,1964,116,765.5999999999999,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To Be or Not to Be,0,4,To Be or Not to Be,8.1,99.0,1942,46547,377030.7,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
To Catch a Thief,1,3,To Catch a Thief,7.4,106.0,1955,83376,616982.4,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
To Die in Madrid,0,1,To Die in Madrid,8.0,85.0,1963,441,3528.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To Each His Own,1,2,To Each His Own,7.6,122.0,1946,3118,23696.8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
To Forget Venice,0,1,To Forget Venice,6.6,110.0,1979,412,2719.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
To Kill a Mockingbird,1,8,To Kill a Mockingbird,8.3,129.0,1962,342321,2841264.3000000003,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0
To Leslie,0,1,To Leslie,7.1,119.0,2022,18692,132713.19999999998,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Live Again,0,1,To Live Again,,,1963,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To Live or Let Die,0,1,To Live or Let Die,6.9,30.0,1982,38,262.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To the People of the United States,0,1,To the People of the United States,5.2,21.0,1943,79,410.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To the Shores of Iwo Jima,0,1,To the Shores of Iwo Jima,6.5,20.0,1945,186,1209.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
To the Shores of Tripoli,0,1,To the Shores of Tripoli,6.0,86.0,1942,1024,6144.0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobruk,0,1,Tobruk,6.4,107.0,1967,3733,23891.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tom & Viv,0,2,Tom & Viv,6.2,115.0,1994,1924,11928.800000000001,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Jones,1,10,Tom Jones,6.4,129.0,1963,14791,94662.40000000001,1,1,1,0,0,1,5,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0
Tom Sawyer,0,3,Tom Sawyer,6.4,103.0,1973,2761,17670.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Tom, Dick and Harry",0,1,"Tom, Dick and Harry",6.3,87.0,1941,1283,8082.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tommy,0,2,Tommy,6.6,111.0,1975,23499,155093.4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tomorrow We Fly,0,1,Tomorrow We Fly,,10.0,1943,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Toni Erdmann,0,1,Toni Erdmann,7.3,162.0,2016,53358,389513.39999999997,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tonight and Every Night,0,2,Tonight and Every Night,6.2,92.0,1945,1211,7508.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Too Many Husbands,0,1,Too Many Husbands,6.4,81.0,1940,1763,11283.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Too Young to Kiss,0,1,Too Young to Kiss,6.1,91.0,1951,670,4086.9999999999995,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Toot, Whistle, Plunk and Boom",1,1,"Toot, Whistle, Plunk and Boom",7.1,10.0,1953,1608,11416.8,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tootsie,1,10,Tootsie,7.4,116.0,1982,118386,876056.4,1,1,1,1,0,0,3,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0
Top Gun,1,4,Top Gun,7.0,109.0,1986,524679,3672753.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Top Gun: Maverick,1,6,Top Gun: Maverick,8.2,130.0,2022,767601,6294328.199999999,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1
Top Hat,0,4,Top Hat,7.7,101.0,1935,21394,164733.80000000002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Topkapi,1,1,Topkapi,6.9,120.0,1964,11157,76983.3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topper,0,2,Topper,7.2,97.0,1937,8747,62978.4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Topper Returns,0,2,Topper Returns,6.8,88.0,1941,3630,24684.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Topper Takes a Trip,0,1,Topper Takes a Trip,6.4,80.0,1938,1587,10156.800000000001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Topsy-Turvy,1,4,Topsy-Turvy,7.3,160.0,1999,13852,101119.59999999999,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Tora! Tora! Tora!,1,5,Tora! Tora! Tora!,7.5,144.0,1970,38482,288615.0,4,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
Torch Song,0,1,Torch Song,5.6,90.0,1953,1581,8853.599999999999,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torpedo Run,0,1,Torpedo Run,6.4,98.0,1958,2604,16665.600000000002,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tortilla Flat,0,1,Tortilla Flat,6.2,105.0,1942,2124,13168.800000000001,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torture Money,1,1,Torture Money,6.1,21.0,1937,222,1354.1999999999998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Total Recall,1,3,Total Recall,7.5,113.0,1990,366917,2751877.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Toward Independence,1,1,Toward Independence,5.7,30.0,1948,61,347.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Town without Pity,0,1,Town Without Pity,7.2,105.0,1961,2042,14702.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toy Story,0,3,Toy Story,8.3,81.0,1995,1117786,9277623.8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Toy Story 3,1,5,Toy Story 3,8.3,103.0,2010,928017,7702541.100000001,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Toy Story 4,1,2,Toy Story 4,7.6,100.0,2019,296063,2250078.8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toy Tinkers,0,1,Toy Tinkers,7.5,7.0,1949,1545,11587.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toys,0,2,Toys,5.1,118.0,1992,34367,175271.69999999998,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Toys in the Attic,0,1,Toys in the Attic,6.7,90.0,1963,1467,9828.9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trader Horn,0,1,Trader Horn,6.1,122.0,1931,1202,7332.2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trading Places,0,1,Trading Places,7.5,116.0,1983,173918,1304385.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Traffic,1,5,Traffic,7.5,147.0,2000,224575,1684312.5,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
Traffic Stop,0,1,Traffic Stop,5.5,31.0,2017,1090,5995.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Traffic with the Devil,0,1,Traffic with the Devil,6.5,19.0,1946,291,1891.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Training Day,1,2,Training Day,7.8,122.0,2001,494038,3853496.4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trainspotting,0,1,Trainspotting,8.1,93.0,1996,747304,6053162.399999999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Transamerica,0,2,Transamerica,7.3,103.0,2005,42860,312878.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Transatlantic,1,1,Transatlantic,6.1,78.0,1931,308,1878.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers,0,3,Transformers,7.1,144.0,2007,695256,4936317.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Transformers: Dark of the Moon,0,3,Transformers: Dark of the Moon,6.2,154.0,2011,443260,2748212.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Transformers: Revenge of the Fallen,0,1,Transformers: Revenge of the Fallen,6.0,149.0,2009,440607,2643642.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Traveling Hopefully,0,1,Traveling Hopefully,6.2,84.0,1982,61,378.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Travels with My Aunt,1,4,Travels with My Aunt,6.3,108.0,1972,2830,17829.0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Treasure Planet,0,1,Treasure Planet,7.2,95.0,2002,140281,1010023.2000000001,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trees and Jamaica Daddy,0,1,Trees and Jamaica Daddy,5.1,7.0,1957,139,708.9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor,1,1,Trevor,7.7,23.0,1994,1663,12805.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial,0,1,Trial,6.9,105.0,1955,1319,9101.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triangle,0,1,Triangle,6.5,9.0,1994,166,1079.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triangle of Sadness,0,3,Triangle of Sadness,7.3,147.0,2022,201023,1467467.9,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Tribute,0,1,Tribute,6.2,121.0,1980,865,5363.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trio,0,1,Trio,7.1,91.0,1950,929,6595.9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tristana,0,1,Tristana,7.4,99.0,1970,13305,98457.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trolls,0,1,Trolls,6.4,92.0,2016,96375,616800.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tron,0,2,Tron,6.7,96.0,1982,133257,892821.9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tron: Legacy,0,1,Tron: Legacy,6.8,125.0,2010,365044,2482299.1999999997,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tropic Holiday,0,1,Tropic Holiday,5.4,78.0,1938,117,631.8000000000001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tropic Thunder,0,1,Tropic Thunder,7.1,107.0,2008,466182,3309892.1999999997,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trouble Indemnity,0,1,Trouble Indemnity,6.2,7.0,1950,178,1103.6000000000001,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trouble the Water,0,1,Trouble the Water,7.3,93.0,2008,2107,15381.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Troublesome Creek: A Midwestern,0,1,Troublesome Creek: A Midwestern,7.1,88.0,1995,89,631.9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Troy,0,1,Troy,7.3,163.0,2004,591199,4315752.7,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Truant Officer Donald,0,1,Truant Officer Donald,7.2,8.0,1941,938,6753.6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True Grit,1,24,True Grit,7.4,128.0,1969,53173,393480.2,1,0,0,1,0,1,6,0,2,2,2,0,0,0,0,0,2,2,2,0,4,0,2
True Lies,0,1,True Lies,7.3,141.0,1994,290731,2122336.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trumbo,0,1,Trumbo,7.4,124.0,2015,86017,636525.8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsotsi,1,1,Tsotsi,7.2,94.0,2005,31966,230155.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
